,1959-1960,1960-1961,1961-1962,1962-1963,1963-1964,1964-1965,1965-1966,1966-1967,1967-1968,1968-1969,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020
PEC Zwolle '82,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,18.0,,12.0,13.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helmond Sport,,,,,,,,,,,,,,,,,,,,,,,,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC Dordrecht,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,18.0,,,,14.0,18.0,,18.0,,,,,,,,,,,,,,,,,,,,18.0,,,,,
BV Veendam,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RKC Waalwijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,7.5,7.0,10.0,9.0,16.0,9.0,11.5,17.0,16.0,16.5,11.0,4.5,8.5,8.0,12.0,8.5,12.5,17.0,,,18.0,,8.5,14.5,16.0,,,,,,18.0
sc Heerenveen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,13.0,7.5,5.0,8.0,4.0,7.0,2.0,9.5,5.0,7.0,4.0,5.0,7.5,5.0,5.5,5.0,11.0,12.5,5.0,8.0,5.0,7.0,13.0,9.0,8.0,11.5,10.5
SC Cambuur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,18.0,,,,,14.5,16.0,,,,,,,,,,,,,,12.0,11.5,18.0,,,,
RBC Roosendaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,13.0,11.0,15.5,18.0,,,,,,,,,,,,,,
FC Zwolle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,17.0,,,,,,,,,,,,,,,,
FC Emmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,12.0
